"id","name"
"304","ACTG2"
"305","ACTL10"
"306","ACTL11P"
"307","ACTL6A"
"308","ACTL6B"
"309","ACTL7A"
"310","ACTL7B"
"311","ACTL8"
"312","ACTL9"
"313","ACTN1"
"314","ACTN1-DT"
"315","ACTN2"
"316","ACTN3"
"317","ACTN4"
"318","ACTN4P1"
"319","ACTN4P2"
"320","ACTP1"
"321","ACTR10"
"322","ACTR1A"
"323","ACTR1AP1"
"324","ACTR1B"
"325","ACTR2"
"326","ACTR3"
"327","ACTR3-AS1"
"328","ACTR3B"
"329","ACTR3BP1"
"330","ACTR3BP2"
"331","ACTR3BP3"
"332","ACTR3BP4"
"333","ACTR3BP5"
"334","ACTR3BP6"
"335","ACTR3BP7"
"336","ACTR3C"
"337","ACTR3P2"
"338","ACTR3P3"
"339","ACTR5"
"340","ACTR6"
"341","ACTR6P1"
"342","ACTR8"
"343","ACTRT1"
"344","ACTRT1P1"
"345","ACTRT2"
"346","ACTRT3"
"347","ACVR1"
"348","ACVR1B"
"349","ACVR1C"
"350","ACVR2A"
"351","ACVR2B"
"352","ACVR2B-AS1"
"353","ACVRL1"
"354","ACY1"
"355","ACY3"
"356","ACYP1"
"357","ACYP2"
"358","ADA"
"359","ADA2"
"360","ADAD1"
"361","ADAD1P2"
"362","ADAD2"
"363","ADAL"
"364","ADAM10"
"365","ADAM11"
"366","ADAM12"
"367","ADAM15"
"368","ADAM17"
"369","ADAM18"
"370","ADAM19"
"371","ADAM1A"
"372","ADAM1B"
"373","ADAM2"
"374","ADAM20"
"375","ADAM20P1"
"376","ADAM20P2"
"377","ADAM20P3"
"378","ADAM21"
"379","ADAM21P1"
"380","ADAM22"
"381","ADAM23"
"382","ADAM24P"
"383","ADAM28"
"384","ADAM29"
"385","ADAM30"
"386","ADAM32"
"387","ADAM33"
"388","ADAM3A"
"389","ADAM3B"
"390","ADAM5"
"391","ADAM6"
"392","ADAM7"
"393","ADAM7-AS1"
"394","ADAM7-AS2"
"395","ADAM8"
"396","ADAM9"
"397","ADAMDEC1"
"398","ADAMTS1"
"399","ADAMTS10"
"400","ADAMTS12"
"401","ADAMTS13"
"402","ADAMTS14"
"403","ADAMTS15"
"404","ADAMTS16"
"405","ADAMTS16-DT"
"406","ADAMTS17"
"407","ADAMTS18"
"408","ADAMTS19"
"409","ADAMTS19-AS1"
"410","ADAMTS2"
"411","ADAMTS20"
"412","ADAMTS3"
"413","ADAMTS4"
"414","ADAMTS5"
"415","ADAMTS6"
"416","ADAMTS7"
"417","ADAMTS7P1"
"418","ADAMTS7P3"
"419","ADAMTS7P4"
"420","ADAMTS8"
"421","ADAMTS9"
"422","ADAMTS9-AS1"
"423","ADAMTS9-AS2"
